title,author_name,first_publish_year,publisher
Hello Beautiful,['Ann Napolitano'],2023,
HELLO,['Tere Liye'],2023,
Hello Baby,['Amanda Westcott'],2019,
Hello Universe,['Erin Entrada Kelly'],2017,
Begin Smart,['Begin Smart Books'],2008,
Hello world,['Hannah Fry'],2018,
2020-2021,['Love Write'],2020,
"Hello, darkness",['Sandra Brown'],2003,
Poems verses words of rhyme,['Jumpin Media Books'],2018,
8 Rules of Love,['Jay Shetty'],2023,
Automate the Boring Stuff with Python,['Al Sweigart'],2015,
Study Guide,['SuperSummary'],2018,
Password Book,['Grizzel GRIZZEL JORDAN'],2021,
Sketch Book,['Char story'],2018,
Notebook,['Char story'],2018,
Notebook,['Sarah story'],2018,
Sketch book,['Sarah story'],2018,
Journal,['Premise Content'],2017,
Hello lighthouse,['Sophie Blackall'],2018,
Hello (from Here),"['Chandler Baker', 'Wesley King']",2022,
A Love Letter to Whiskey,['Kandi Steiner'],2016,
"Hello, bugs!",['Smriti Prasadam-Halls'],2010,
Sketchbook,['Premise Content'],2017,
"Hello Kitty, Hello Love! (Hello Kitty)",['Jean Hirashima'],2005,
Password Book,['Kirschner KIRSCHNER KENNETH'],2021,
